id,phase,week,week_end,priority,action,owner,dependencies,effort,kpi,approval_class,status,evidence_ids,confidence,implementation_risk,notes
A-036,Content,12,12,P2,Complete Gate 2 content and implementation decision,Agency admin + client,"A-034, A-035",5h,Gate 2 decision recorded,agency_admin,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,high,Advisory only; no external system changes are executed by the studio.
A-037,CRO,13,13,P3,Map priority conversion journeys after GA4 validation,UX + Analytics,A-018,8h,Approved journey map,analyst,Not started,"EV-UNAVAILABLE-GA4, EV-0001",1.0,low,Advisory only; no external system changes are executed by the studio.
A-038,CRO,13,13,P3,Create an evidence-supported experiment backlog,UX + Analytics,A-037,8h,Experiments have baselines and owners,analyst,Not started,"EV-UNAVAILABLE-GA4, EV-0001",1.0,low,Advisory only; no external system changes are executed by the studio.
A-039,CRO,13,13,P3,"Review forms, contact routes and mobile interaction states",UX + QA,A-037,7h,Interaction audit completed,analyst,Not started,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-040,Release,14,14,P1,Implement approved redirects and canonicals in staging only,Engineering,"A-008, A-009, A-036",12h,Staging graph validation passes,agency_admin,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,high,Advisory only; no external system changes are executed by the studio.
A-041,Release,14,14,P1,"Implement approved metadata, headings and internal links",Engineering,"A-027, A-036",12h,Staging page QA passes,analyst,Not started,"EV-0223, EV-0226, EV-0231, EV-0235, EV-0241, EV-0258, EV-0259, EV-0261",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-042,Release,14,14,P1,Deploy only approved page-specific schema candidates,Engineering,"A-015, A-036",8h,Zero unsupported schema properties,agency_admin,Not started,EV-0001,1.0,high,Advisory only; no external system changes are executed by the studio.
A-043,Validation,15,15,P1,Re-crawl staging and reconcile every normalized URL,QA,"A-040, A-041, A-042",10h,Canonical inventory reconciliation passes,analyst,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-044,Validation,15,15,P1,"Re-run link, redirect, canonical, schema and domain safety gates",QA,A-043,10h,Zero Critical or High QA failures,agency_admin,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-045,Validation,15,15,P2,"Render and inspect XLSX, DOCX, PPTX, PDF and HTML outputs",QA,A-044,8h,All client artifacts open and render,analyst,Not started,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-046,Approval,16,16,P1,"Reconcile UI, workbooks, reports, deck and manifest",QA,A-045,7h,All canonical counts match,analyst,Not started,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-047,Approval,16,16,P1,Record final agency and client release decisions,Agency admin + client,A-046,4h,Approve or revise decision recorded,agency_admin,Not started,EV-0001,1.0,high,Advisory only; no external system changes are executed by the studio.
A-048,Approval,16,16,P2,"Archive checksums, restore evidence and post-release monitoring plan",Agency admin,A-047,5h,Recovery and monitoring handoff accepted,agency_admin,Not started,EV-0001,1.0,moderate,Advisory only; no external system changes are executed by the studio.
